projected_points,confidence_lower,confidence_upper,confidence_level,player_id,player_name,position,team,week,season
6.21,0.0,19.12,0.95,00-0037267,Jerome Ford,RB,CLE,5,2025
6.2,0.0,18.64,0.95,00-0038612,A.T. Perry,WR,DEN,5,2025
6.17,0.0,18.62,0.95,00-0033307,Kendrick Bourne,WR,SF,5,2025
6.15,0.0,14.45,0.95,00-0038551,Kendre Miller,RB,NO,5,2025
6.11,0.0,12.35,0.95,00-0037004,Hunter Long,TE,JAX,5,2025
6.06,0.0,14.23,0.95,00-0039847,Theo Johnson,TE,NYG,5,2025
6.05,0.0,18.73,0.95,00-0031236,Brandin Cooks,WR,NO,5,2025
5.92,0.0,16.1,0.95,00-0037666,Jalen Tolbert,WR,DAL,5,2025
5.9,0.0,20.02,0.95,00-0036309,Darnell Mooney,WR,ATL,5,2025
5.84,0.0,17.68,0.95,00-0038606,Parker Washington,WR,JAX,5,2025
5.81,0.0,15.75,0.95,00-0036988,Josh Palmer,WR,BUF,5,2025
5.79,0.57,11.0,0.95,00-0040718,Travis Hunter,WR,JAX,5,2025
5.79,0.0,17.51,0.95,00-0038393,Dontayvion Wicks,WR,GB,5,2025
5.78,0.0,14.42,0.95,00-0040736,Mason Taylor,TE,NYJ,5,2025
5.73,0.0,15.92,0.95,00-0036980,Elijah Moore,WR,BUF,5,2025
5.51,0.0,20.45,0.95,00-0028986,Case Keenum,QB,CHI,5,2025
5.49,0.0,18.65,0.95,00-0037524,Tay Martin,WR,WAS,5,2025
5.48,0.0,16.34,0.95,00-0036894,Pat Freiermuth,TE,PIT,5,2025
5.47,5.47,5.47,0.95,00-0036032,Sean McKeon,TE,IND,5,2025
5.47,0.0,17.05,0.95,00-0036423,Albert Okwuegbunam,TE,LV,5,2025
5.47,0.0,17.05,0.95,00-0038735,Princeton Fant,TE,DAL,5,2025
5.47,0.0,17.05,0.95,00-0038564,Cameron Latu,TE,PHI,5,2025
5.47,0.0,17.05,0.95,00-0039316,Baylor Cupp,TE,BAL,5,2025
5.47,5.47,5.47,0.95,00-0038643,Brayden Willis,TE,SF,5,2025
5.47,5.47,5.47,0.95,00-0040509,Ben Yurosek,TE,MIN,5,2025
5.47,0.0,17.05,0.95,00-0037340,Zaire Mitchell-Paden,TE,BAL,5,2025
5.47,0.0,17.05,0.95,00-0039458,Brenden Bates,TE,HOU,5,2025
5.47,5.47,5.47,0.95,00-0039686,Colson Yankoff,TE,WAS,5,2025
5.44,0.0,15.46,0.95,00-0033955,Jeremy McNichols,RB,WAS,5,2025
5.44,0.63,10.25,0.95,00-0039738,Blake Corum,RB,LA,5,2025
5.38,0.0,14.8,0.95,00-0036924,Michael Carter,RB,ARI,5,2025
5.34,0.0,22.1,0.95,00-0040162,Dylan Sampson,RB,CLE,5,2025
5.34,0.0,12.25,0.95,00-0037509,Sincere McCormick,RB,SF,5,2025
5.32,0.0,24.94,0.95,00-0027973,Andy Dalton,QB,CAR,5,2025
5.32,0.0,18.76,0.95,00-0032775,Demarcus Robinson,WR,SF,5,2025
5.31,0.0,21.82,0.95,00-0036271,Quez Watkins,WR,PHI,5,2025
5.31,0.0,15.61,0.95,00-0036849,Tutu Atwell,WR,LA,5,2025
5.3,0.0,17.21,0.95,00-0036893,Najee Harris,RB,LAC,5,2025
5.25,0.0,17.99,0.95,00-0039386,Bub Means,WR,NO,5,2025
5.22,0.0,13.95,0.95,00-0038621,DeMario Douglas,WR,NE,5,2025
5.17,0.0,16.15,0.95,00-0038559,Michael Wilson,WR,ARI,5,2025
5.07,0.0,18.23,0.95,00-0039491,Jalen Coker,WR,CAR,5,2025
5.07,0.0,12.44,0.95,00-0036328,Antonio Gibson,RB,NE,5,2025
5.03,0.0,15.67,0.95,00-0040187,Mitchell Evans,TE,CAR,5,2025
5.01,0.0,18.27,0.95,00-0038476,Tommy DeVito,QB,NE,5,2025
4.94,0.0,11.45,0.95,00-0040130,Jayden Higgins,WR,HOU,5,2025
4.93,0.0,12.51,0.95,00-0039890,Adonai Mitchell,WR,IND,5,2025
4.93,0.0,11.22,0.95,00-0039373,Audric Estimé,RB,PHI,5,2025
4.82,0.0,19.73,0.95,00-0033591,Noah Brown,WR,WAS,5,2025
4.8,0.0,12.08,0.95,00-0029892,Kyle Juszczyk,RB,SF,5,2025
4.79,0.0,11.43,0.95,00-0035973,Patrick Taylor,RB,SF,5,2025
4.77,0.0,14.98,0.95,00-0039424,Devaughn Vele,WR,NO,5,2025
4.77,0.0,12.97,0.95,00-0034981,Foster Moreau,TE,NO,5,2025
4.75,0.0,19.99,0.95,00-0035045,D.J. Montgomery,WR,IND,5,2025
4.73,0.0,21.97,0.95,00-0030035,Adam Thielen,WR,MIN,5,2025
4.73,0.0,13.96,0.95,00-0036020,Salvon Ahmed,RB,IND,5,2025
